Load ID,Pickup State,Delivery State,Loaded Miles,Deadhead Miles,Rate Per Mile,Fuel Cost,Detention Hours,Driver Assigned,Dispatcher,Cost per Mile,Gross Revenue,Total Cost,Net Profit,Broker Name,Load Date,Total Miles,Profit per Mile
L0188,IL,TX,902,109,2.73,570.51,5,Driver 9,Dispatch A,0.95,2462.46,964.27,1498.19,XPO,2025-01-10,1011,1.66
L0189,IL,PA,1147,260,2.8,989.77,1,Driver 5,Dispatch A,1.02,3211.6,1430.48,1781.12,JB Hunt,2025-01-20,1407,1.55
L0190,CA,PA,434,292,2.92,423.94,3,Driver 8,Dispatch C,0.93,1267.28,672.45,594.83,Coyote,2025-01-11,726,1.37
L0191,IL,GA,654,111,2.55,427.54,4,Driver 6,Dispatch B,0.91,1667.7,699.96,967.74,Coyote,2025-01-12,765,1.48
L0192,OH,OH,711,217,2.26,570.7,2,Driver 9,Dispatch B,0.97,1606.86,904.38,702.48,CH Robinson,2025-01-11,928,0.99
L0193,FL,IL,470,236,2.28,424.82,0,Driver 4,Dispatch C,0.92,1071.6,647.13,424.47,CH Robinson,2025-01-6,706,0.9
L0194,NJ,PA,516,218,2.11,495.03,2,Driver 2,Dispatch B,1.06,1088.76,775.56,313.2,JB Hunt,2025-01-17,734,0.61
L0195,IL,OH,833,225,2.15,636.67,2,Driver 4,Dispatch B,0.87,1790.95,920.14,870.81,Coyote,2025-01-13,1058,1.05
L0196,OH,FL,804,198,2.11,661.98,3,Driver 6,Dispatch C,1.09,1696.44,1088.01,608.43,XPO,2025-01-24,1002,0.76
L0197,NC,TX,684,71,2.47,498.42,3,Driver 8,Dispatch B,1.11,1689.48,836.59,852.89,Coyote,2025-01-7,755,1.25
L0198,NJ,AZ,1032,187,1.81,794.94,1,Driver 8,Dispatch C,1.07,1867.92,1302.87,565.05,JB Hunt,2025-01-27,1219,0.55
L0199,IL,PA,1128,241,2.78,804.77,2,Driver 9,Dispatch C,0.97,3135.84,1331.99,1803.85,XPO,2025-01-23,1369,1.6
L0200,PA,IL,636,299,2.13,532.16,0,Driver 2,Dispatch B,0.83,1354.68,777.11,577.57,JB Hunt,2025-01-9,935,0.91
